Route 1,Route 2,Difference Raw,Difference Score
lind2,belf8,0.00296,0.00296
elbe2,evan4,-0.002963,0.002963
blan1,evan2,0.002967,0.002967
long1,chib1,-0.002979,0.002979
chal1,humb2,-0.003031,0.003031
elbe4,lapl1,-0.003061,0.003061
bros2,came1,-0.003062,0.003062
maro1,elbe1,-0.003068,0.003068
cpea2,evan4,-0.003116,0.003116
redc1,colu2,-0.003118,0.003118
cast2,mass1,0.003125,0.003125
elli3,chib1,0.003133,0.003133
cpea2,cpea2,0.003185,0.003185
bros3,bier4,-0.00319,0.00319
conu1,linc1,-0.003195,0.003195
evan3,demo1,0.003205,0.003205
pike1,colu6,0.00323,0.00323
kitc3,hand1,0.003243,0.003243
gray6,colu2,-0.003251,0.003251
chal1,cast3,-0.00326,0.00326
mass1,colu6,-0.003291,0.003291
conu1,linc2,0.003309,0.003309
hand3,colu6,-0.003314,0.003314
cnee3,eldi4,0.003315,0.003315
cast2,bros1,0.003316,0.003316
gray8,chal1,-0.003333,0.003333
prin1,colu6,-0.003336,0.003336
mass3,chib1,0.003345,0.003345
belf8,came1,-0.003346,0.003346
demo1,linc1,0.003348,0.003348
came1,eldi3,-0.00338,0.00338
tabe3w,bros4,-0.003411,0.003411
gray8,bier3,0.003418,0.003418
bros5,neol4,0.003419,0.003419
conu1,eldi3,0.003434,0.003434
linc3,humb3,0.003461,0.003461
hand1,bros3,-0.003462,0.003462
gray1,cast1,-0.003463,0.003463
gray6,bros2,-0.003488,0.003488
cast2,colu2,0.003498,0.003498
huro1,elbe1,-0.003505,0.003505
cnee3,quan1,-0.003526,0.003526
demo2,came1,-0.00355,0.00355
cpea2,humb3,0.003562,0.003562
torr10,bier4,0.003581,0.003581
mwil2,cnee1,0.003593,0.003593
demo2,kitc6,-0.003601,0.003601
holy2,kitc3,0.003603,0.003603
mass1,hand2,0.003625,0.003625
cast3,huro2,0.003676,0.003676
elli3,mass2,-0.003708,0.003708
ante1,sher1,-0.003744,0.003744
gray1,harv3,0.003764,0.003764
belf1,gray8,-0.003767,0.003767
bier1,gray1,0.00377,0.00377
cast3,colu6,0.003772,0.003772
evan4,humb3,0.003776,0.003776
bros5,hand1,-0.003808,0.003808
quan3,bros1,0.003827,0.003827
harv4,bros3,-0.003849,0.003849
elbe4,pikeeast,0.003855,0.003855
demo1,cule1,-0.003879,0.003879
pikeeast,bros5,-0.003895,0.003895
gray8,bier4,0.003904,0.003904
cnee1,belf8,0.003966,0.003966
